permid,ticker,cik,filing_date,n_words,ai_hits,ai_per_10k,ai_per_10k_risk,ai_per_10k_nonrisk
4295901703,CWBC,1127371,2022-03-09,76307.0,0.0,0.0,,0.0
4295901744,PFG,1126328,2022-02-11,152931.0,0.0,0.0,0.0,0.0
4295901764,CCRN,1141103,2022-02-28,53678.0,1.0,0.186,0.0,0.186
4295901784,ELV,1156039,2022-02-16,91691.0,0.0,0.0,0.0,0.0
4295901804,DCTH,872912,2022-03-31,49849.0,0.0,0.0,0.0,0.0
4295901827,AAP,1158449,2022-02-15,33317.0,6.0,1.801,0.0,1.801
4295901855,AYI,1144215,2022-10-26,47914.0,4.0,0.835,0.0,0.835
4295901893,CNC,1071739,2022-02-22,70243.0,5.0,0.712,0.0,0.712
4295901899,WNEB,1157647,2022-03-11,66276.0,0.0,0.0,0.0,0.0
4295901912,NWBO,1072379,2022-03-01,47812.0,0.0,0.0,0.0,0.0
4295901925,PRU,1137774,2022-02-17,204707.0,0.0,0.0,0.0,0.0
4295901980,SYNA,817720,2022-08-22,55880.0,20.0,3.579,0.0,3.579
4295901982,APLD,1144879,2022-08-29,48777.0,6.0,1.23,0.0,1.23
4295902026,L,60086,2022-02-08,90612.0,0.0,0.0,0.0,0.0
4295902037,GME,1326380,2022-03-17,36381.0,0.0,0.0,0.0,0.0
4295902055,JBLU,1158463,2022-02-22,73385.0,0.0,0.0,0.0,0.0
4295902119,NPO,1164863,2022-03-01,62819.0,3.0,0.478,0.0,0.478
4295902139,DXCM,1093557,2022-02-14,85394.0,2.0,0.234,0.0,0.234
4295902142,BBBY,1130713,2022-02-25,51080.0,0.0,0.0,0.0,0.0
4295902145,TBRG,1169445,2022-03-15,59406.0,0.0,0.0,0.0,0.0
4295902150,WTBA,1166928,2022-02-24,57571.0,0.0,0.0,0.0,0.0
4295902156,VTSI,1085243,2022-08-02,42408.0,0.0,0.0,0.0,0.0
4295902157,ANIP,1023024,2022-03-15,73865.0,0.0,0.0,0.0,0.0
4295902158,NFLX,1065280,,,,,,
